,hit_type_id,hit_id,assign_id,worker_id,missing,excess,,,,bad
19,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3EFVCAY5L3ASFI93LSIXAS85HKL8JE,A2L2E6J3D23CN4,"""Wilson said"" + ""There remains a possibility""",-,,,,
20,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3F6KKYWMNB20F3WFHYL5PR3N1VNND3,A1AMGHYG5PT0L2,,,,,,
21,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3XC1O3LBOSNH8SPRRB55H3HKZNFLTO,A320QA9HJFUOZO,"""Wilson said"" + ""There remains a possibility""",-,,,,
22,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3L70J4KAZGNTVK2Q8UG03LJN2PUDAH,A163XFZG5BI0XU,-,-,,,,
23,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3SNLUL3WO4OW854GRGVFMZ3MI1NLUG,AM65LGXJBTJ0I,-,-,,,,
24,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,37TD41K0AHANQOI6PY7G4FVB3VQCSD,A3GWRDHAURRNK6,-,-,,,,
25,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3NJM2BJS4W7QDW2EXH3M9AQ0GBJCPX,A1WJIRT360P5VB,"""Wilson said""",-,,,,
26,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3VE8AYVF8MYCAGN722RCVUGDOEBF8R,A3VL1CBZ3BGQK7,-,Assistant Secretary,,,,
27,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,36WLNQG78ZB360LIA3RG4ELEKJJEB9,A98E8M4QLI9RS,-,-,,,,
28,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3018Q3ZVOIRNWULVQVBK8A0RHQMRA2,A1198W1SPF1R4,,,,,,
29,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,30IQTZXKAK7BSD9P7SKJ8MA29LXX0F,AL9JUMMNJRNRF,,,,,,
30,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3X4JMASXCMA4FA6O2WS1JPJAQIBB0M,A3L8LSM7V7KX3T,,,,,,
31,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3RRCEFRB7MDLEYOPLXF3VS9N7US4BW,A2BT7QVGXJKFKI,-,-,,,,
32,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3E13VNJ1NNWE975C4POIJH6XQ02I16,AURYD2FH3FUOQ,-,-,,,,
33,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3B3WTRP3DB3SNRU5JZIJB7HZZGU29P,ARQR5NIFA1AJ,,,,,,
34,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,36W0OB37HWFB88F06IFPBZPU329HZA,A39SK1E6IMQBD5,-,-,,,,
35,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3L6L49WXW0YJPI7GKNOQS69VXYK459,A3T3WRVSK1N2PR,"""There remains a possibility""",-,,,,
36,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3Z7VU45IPYI04XUM4TC4JC9NMDL1Z3,A5TWD5QD99GZY,-,-,,,,
37,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3L4D84MILZTL8TAWOWC3N514K48JH3,A2WLGVXAVT2XTR,"""Wilson said"" + ""There remains a possibility""",-,,,,
38,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,336KAV9KYQT7OS2DRBAZAOAQ8P02YZ,A21STU4Z97J2Z6,,,,,,
39,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,36ZN444YTRZZ5ZCDARMTVDJ5JB1IOI,A2JW9RMYFHTI0I,,,,,,
40,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3FVBZG9CLJFBK3BGCMXVHHRH2JXH0Y,3DPNQGW4LLGF8M7UP6YVKCNVTSW64Q,A1F6MWP9A0XLJQ,"""There remains a possibility""",-,,,,
41,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3DFYDSXB2W1NRVIMYTE0I1V3V05JU8,3YT88D1N08Z1P59FRWNDKQ07GNK3K7,APRZ7BR8C0ZMQ,,,,,,
42,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3DFYDSXB2W1NRVIMYTE0I1V3V05JU8,31N2WW6R9RRQ9JH1QLWG4D828R33F5,A25W82SY783J6X,,,,,,
